9000000535 | 29744 | 24234 | 20998 | 44752 | 2144 | YES
9000001866 | 28359 | 18411 | 7499 | 11373 | 1046 | YES
9000001867 | 16063 | 8817 | 9393 | 10990 | 728 | YES
9000000536 | 18809 | 26258 | 15653 | 21578 | 1451 | YES
9000001864 | 22390 | 28537 | 14412 | 20531 | 1496 | YES
9000000533 | 29326 | 24613 | 34666 | 24376 | 1813 | YES
9000001865 | 16461 | 24305 | 19642 | 37274 | 1810 | YES
9000000534 | 25981 | 30702 | 13494 | 16989 | 1484 | YES
9000000531 | 28364 | 25384 | 34302 | 29530 | 1940 | YES
9000001862 | 17811 | 11166 | 21860 | 14948 | 1035 | YES
9000000532 | 18678 | 21214 | 18407 | 24840 | 1454 | YES
9000001863 | 20414 | 32423 | 11740 | 10868 | 1294 | YES
9000001860 | 31315 | 51884 | 25989 | 38626 | 2651 | YES
9000001861 | 16563 | 18301 | 22739 | 31504 | 1581 | YES
9000000530 | 39459 | 35984 | 46942 | 35632 | 2573 | YES
9000000528 | 29339 | 30178 | 19517 | 14884 | 1527 | YES
9000001859 | 49582 | 41401 | 33694 | 30412 | 2514 | YES
9000000529 | 32866 | 20031 | 28839 | 21455 | 1617 | YES
9000001857 | 12458 | 14983 | 43528 | 31738 | 1715 | YES
9000000526 | 25219 | 24624 | 24495 | 20226 | 1553 | YES
9000001858 | 17212 | 17340 | 31691 | 28146 | 1591 | YES
9000000527 | 17911 | 32356 | 21698 | 27037 | 1771 | YES
9000000524 | 21744 | 26559 | 30155 | 26956 | 1785 | YES
9000001855 | 24984 | 23988 | 16539 | 19849 | 1436 | YES
9000001856 | 36285 | 36753 | 27923 | 23093 | 2033 | YES
9000000525 | 16268 | 21275 | 14888 | 26425 | 1428 | YES
9000000522 | 17267 | 18475 | 15277 | 8617 | 953 | YES
9000001853 | 24432 | 24781 | 24028 | 16145 | 1445 | YES
9000000523 | 23678 | 15377 | 15029 | 10194 | 991 | YES
9000001854 | 29683 | 25459 | 21863 | 21990 | 1630 | YES
9000001851 | 40377 | 21467 | 11877 | 19128 | 1474 | YES
9000000520 | 19518 | 15360 | 31607 | 35933 | 1761 | YES
9000001852 | 28471 | 36118 | 12162 | 12081 | 1490 | YES
9000000521 | 35528 | 32575 | 28853 | 24689 | 1987 | YES
9000001850 | 32670 | 30179 | 27522 | 37136 | 2191 | YES
9000000519 | 41273 | 42099 | 23942 | 24352 | 2182 | YES
9000000517 | 3241 | 8283 | 9000 | 7749 | 499 | YES
9000001848 | 39156 | 41728 | 19866 | 23306 | 2080 | YES
9000001849 | 21306 | 18854 | 40855 | 45690 | 2195 | YES
9000000518 | 47570 | 37339 | 30484 | 35395 | 2491 | YES
9000001846 | 30320 | 18935 | 16640 | 14570 | 1260 | YES
9000000515 | 49966 | 49260 | 35802 | 25798 | 2596 | YES
9000001847 | 24238 | 35386 | 37400 | 20669 | 1929 | YES
9000000516 | 41744 | 29536 | 15605 | 26004 | 1867 | YES
9000001880 | 29767 | 36488 | 22420 | 26856 | 1987 | YES
9000001881 | 41914 | 33130 | 21922 | 17336 | 1808 | YES
9000000550 | 29003 | 41097 | 28723 | 28950 | 2199 | YES
9000004910 | 19832 | 25431 | 36784 | 27889 | 1841 | YES
9000004911 | 23272 | 32260 | 31530 | 39576 | 2242 | YES
9000004912 | 25114 | 24350 | 22106 | 17867 | 1462 | YES
9000004913 | 24771 | 19177 | 14981 | 12389 | 1135 | YES
9000004914 | 19359 | 36033 | 30115 | 46343 | 2427 | YES
9000001888 | 35716 | 29675 | 28055 | 31654 | 2086 | YES
9000000557 | 8707 | 12887 | 23126 | 29000 | 1329 | YES
9000001889 | 42377 | 38629 | 23632 | 29255 | 2235 | YES
9000000558 | 23537 | 33094 | 22136 | 22201 | 1734 | YES
9000001886 | 16289 | 9955 | 19036 | 20879 | 1105 | YES
9000000555 | 43306 | 47514 | 33113 | 35167 | 2684 | YES
9000001887 | 33621 | 25644 | 29758 | 30791 | 1979 | YES
9000000556 | 20046 | 17319 | 12119 | 11986 | 1004 | YES
9000001884 | 29025 | 31062 | 31877 | 35477 | 2182 | YES
9000000553 | 21738 | 16461 | 27859 | 24432 | 1486 | YES
9000000554 | 19363 | 22564 | 16760 | 26520 | 1511 | YES
9000001885 | 22214 | 9318 | 32698 | 33974 | 1628 | YES
9000000551 | 18674 | 19404 | 35774 | 37151 | 1914 | YES
9000001882 | 24111 | 32472 | 31419 | 25902 | 1924 | YES
9000000552 | 16211 | 19742 | 27114 | 33015 | 1696 | YES
9000001883 | 23166 | 17360 | 28366 | 23245 | 1497 | YES
9000000548 | 20566 | 38388 | 22871 | 30877 | 2032 | YES
9000001879 | 33124 | 38088 | 20863 | 20515 | 1884 | YES
9000000549 | 23104 | 22308 | 30519 | 23569 | 1633 | YES
9000004904 | 31650 | 29313 | 28161 | 33910 | 2092 | YES
9000004905 | 25248 | 31516 | 21218 | 28774 | 1867 | YES
9000004906 | 26706 | 21223 | 21885 | 29869 | 1700 | YES
9000004907 | 19031 | 25947 | 26536 | 22428 | 1593 | YES
9000004908 | 20994 | 24606 | 19504 | 20719 | 1463 | YES
9000004909 | 23014 | 18106 | 15791 | 15375 | 1176 | YES
9000001870 | 32243 | 33347 | 33849 | 27797 | 2101 | YES
9000004900 | 20673 | 40281 | 22153 | 28660 | 2011 | YES
9000004901 | 30457 | 27322 | 37946 | 46818 | 2462 | YES
9000004902 | 7476 | 18947 | 23404 | 26029 | 1376 | YES
9000004903 | 22791 | 21907 | 19729 | 29609 | 1642 | YES
9000000546 | 36336 | 15851 | 24656 | 29598 | 1714 | YES
9000001877 | 12531 | 15399 | 16675 | 22352 | 1188 | YES
9000001878 | 25595 | 27337 | 20705 | 16367 | 1477 | YES
9000000547 | 19014 | 34801 | 43544 | 45037 | 2521 | YES
9000001875 | 14718 | 12351 | 32892 | 26424 | 1432 | YES
9000000544 | 22626 | 25594 | 18057 | 18679 | 1434 | YES
9000000545 | 19662 | 21537 | 21296 | 23514 | 1472 | YES
9000001876 | 19609 | 16160 | 17811 | 24384 | 1340 | YES
9000001873 | 37789 | 31237 | 33980 | 35971 | 2314 | YES
9000000542 | 14389 | 12508 | 21443 | 21275 | 1175 | YES
9000000543 | 22221 | 25215 | 25392 | 31264 | 1811 | YES
9000001874 | 29446 | 30419 | 31981 | 29203 | 2022 | YES
9000001871 | 22808 | 15125 | 26291 | 37514 | 1767 | YES
9000000540 | 39634 | 26034 | 39845 | 50554 | 2644 | YES
9000001872 | 16751 | 25908 | 16525 | 20164 | 1398 | YES
9000000541 | 13127 | 23992 | 25979 | 30177 | 1671 | YES
9000000539 | 28722 | 25886 | 39468 | 49586 | 2499 | YES
9000000537 | 39532 | 32706 | 27165 | 34744 | 2254 | YES
9000001868 | 33539 | 36415 | 45647 | 36601 | 2528 | YES
9000001869 | 11127 | 24566 | 26727 | 33541 | 1751 | YES
9000000538 | 31856 | 26842 | 31152 | 24297 | 1845 | YES
9000000571 | 15930 | 25777 | 33615 | 36015 | 1967 | YES
9000000572 | 22979 | 17420 | 34711 | 34728 | 1847 | YES
9000004930 | 23398 | 27689 | 23968 | 26140 | 1736 | YES
9000004931 | 29277 | 25719 | 22351 | 22686 | 1654 | YES
9000004932 | 27999 | 33459 | 30575 | 30089 | 2077 | YES
9000000570 | 19615 | 17188 | 30884 | 29578 | 1638 | YES
